name,family,fs150_value,sim_iris_value,delta_fs_minus_sim,status,sim_source,px4_group,px4_type,fs_type
FW_WR_IMAX,Fixed-wing,,1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_WR_P,Fixed-wing,,0.5,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_W_EN,Fixed-wing,,0,,not_exported_by_fs150,metadata default,FW Attitude Control,Int32,
FW_W_RMAX,Fixed-wing,,30,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_YR_FF,Fixed-wing,,0.3,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_YR_I,Fixed-wing,,0.1,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_YR_IMAX,Fixed-wing,,0.2,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_YR_P,Fixed-wing,,0.05,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
FW_Y_RMAX,Fixed-wing,,50,,not_exported_by_fs150,metadata default,FW Attitude Control,Float,
GND_L1_DAMPING,Other,,0.75,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_L1_DIST,Other,,1,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_L1_PERIOD,Other,,5,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_MAN_Y_MAX,Other,,150,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_MAX_ANG,Other,,0.7854,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_SPEED_D,Other,,0.001,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_SPEED_I,Other,,3,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_SPEED_IMAX,Other,,1,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_SPEED_MAX,Other,,10,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_SPEED_P,Other,,2,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_SPEED_THR_SC,Other,,1,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_SPEED_TRIM,Other,,3,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_SP_CTRL_MODE,Other,,1,,not_exported_by_fs150,metadata default,Rover Position Control,Int32,
GND_THR_CRUISE,Other,,0.1,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_THR_MAX,Other,,0.3,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_THR_MIN,Other,,0,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GND_WHEEL_BASE,Other,,0.31,,not_exported_by_fs150,metadata default,Rover Position Control,Float,
GPS_1_GNSS,GPS,,0,,not_exported_by_fs150,metadata default,GPS,Int32,
GPS_1_PROTOCOL,GPS,,1,,not_exported_by_fs150,metadata default,GPS,Int32,
GPS_2_GNSS,GPS,,0,,not_exported_by_fs150,metadata default,GPS,Int32,
GPS_2_PROTOCOL,GPS,,1,,not_exported_by_fs150,metadata default,GPS,Int32,
GPS_UBX_DYNMODEL,GPS,,6,,not_exported_by_fs150,rc.mc_defaults:21 set-default,GPS,Int32,
GPS_UBX_MODE,GPS,,0,,not_exported_by_fs150,metadata default,GPS,Int32,
LAUN_ALL_ON,Other,,0,,not_exported_by_fs150,metadata default,FW Launch detection,Int32,
LAUN_CAT_A,Other,,30,,not_exported_by_fs150,metadata default,FW Launch detection,Float,
LAUN_CAT_MDEL,Other,,0,,not_exported_by_fs150,metadata default,FW Launch detection,Float,
LAUN_CAT_PMAX,Other,,30,,not_exported_by_fs150,metadata default,FW Launch detection,Float,
LAUN_CAT_T,Other,,0.05,,not_exported_by_fs150,metadata default,FW Launch detection,Float,
LNDFW_AIRSPD_MAX,Other,,6,,not_exported_by_fs150,metadata default,Land Detector,Float,
LNDFW_VEL_XY_MAX,Other,,5,,not_exported_by_fs150,metadata default,Land Detector,Float,
LNDFW_VEL_Z_MAX,Other,,3,,not_exported_by_fs150,metadata default,Land Detector,Float,
LNDFW_XYACC_MAX,Other,,8,,not_exported_by_fs150,metadata default,Land Detector,Float,
LPE_ACC_XY,Estimator,,0.012,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_ACC_Z,Estimator,,0.02,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_BAR_Z,Estimator,,3,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_EPH_MAX,Estimator,,3,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_EPV_MAX,Estimator,,5,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_FAKE_ORIGIN,Estimator,,0,,not_exported_by_fs150,metadata default,Local Position Estimator,Int32,
LPE_FGYRO_HP,Estimator,,0.001,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_FLW_OFF_Z,Estimator,,0,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_FLW_QMIN,Estimator,,150,,not_exported_by_fs150,metadata default,Local Position Estimator,Int32,
LPE_FLW_R,Estimator,,7,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_FLW_RR,Estimator,,7,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_FLW_SCALE,Estimator,,1.3,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_FUSION,Estimator,,145,,not_exported_by_fs150,metadata default,Local Position Estimator,Int32,
LPE_GPS_DELAY,Estimator,,0.29,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_GPS_VXY,Estimator,,0.25,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_GPS_VZ,Estimator,,0.25,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_GPS_XY,Estimator,,1,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_GPS_Z,Estimator,,3,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_LAND_VXY,Estimator,,0.05,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_LAND_Z,Estimator,,0.03,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_LAT,Estimator,,47.397742,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_LDR_OFF_Z,Estimator,,0,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_LDR_Z,Estimator,,0.03,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_LON,Estimator,,8.545594,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_LT_COV,Estimator,,0.0001,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_PN_B,Estimator,,0.001,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_PN_P,Estimator,,0.1,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_PN_T,Estimator,,0.001,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_PN_V,Estimator,,0.1,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_SNR_OFF_Z,Estimator,,0,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_SNR_Z,Estimator,,0.05,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_T_MAX_GRADE,Estimator,,1,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_VIC_P,Estimator,,0.001,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_VIS_DELAY,Estimator,,0.1,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_VIS_XY,Estimator,,0.1,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_VIS_Z,Estimator,,0.5,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_VXY_PUB,Estimator,,0.3,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_X_LP,Estimator,,5,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LPE_Z_PUB,Estimator,,1,,not_exported_by_fs150,metadata default,Local Position Estimator,Float,
LTEST_ACC_UNC,Other,,10,,not_exported_by_fs150,metadata default,Landing target Estimator,Float,
LTEST_MEAS_UNC,Other,,0.005,,not_exported_by_fs150,metadata default,Landing target Estimator,Float,
LTEST_MODE,Other,,0,,not_exported_by_fs150,metadata default,Landing target Estimator,Int32,
LTEST_POS_UNC_IN,Other,,0.1,,not_exported_by_fs150,metadata default,Landing target Estimator,Float,
LTEST_SCALE_X,Other,,1,,not_exported_by_fs150,metadata default,Landing target Estimator,Float,
LTEST_SCALE_Y,Other,,1,,not_exported_by_fs150,metadata default,Landing target Estimator,Float,
LTEST_VEL_UNC_IN,Other,,0.1,,not_exported_by_fs150,metadata default,Landing target Estimator,Float,
MAV_0_BROADCAST,MAVLink/system identity,,1,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_0_REMOTE_PRT,MAVLink/system identity,,14550,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_0_UDP_PRT,MAVLink/system identity,,14556,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_1_BROADCAST,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_1_REMOTE_PRT,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_1_UDP_PRT,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_2_BROADCAST,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_2_FORWARD,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_2_MODE,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_2_RADIO_CTL,MAVLink/system identity,,1,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_2_RATE,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_2_REMOTE_PRT,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MAV_2_UDP_PRT,MAVLink/system identity,,0,,not_exported_by_fs150,metadata default,MAVLink,Int32,
MNT_DO_STAB,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Int32,
MNT_MAN_PITCH,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Int32,
MNT_MAN_ROLL,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Int32,
MNT_MAN_YAW,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Int32,
MNT_MAV_COMPID,Mount/gimbal,,154,,not_exported_by_fs150,metadata default,Mount,Int32,
MNT_MAV_SYSID,Mount/gimbal,,1,,not_exported_by_fs150,metadata default,Mount,Int32,
MNT_MODE_OUT,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Int32,
MNT_OB_LOCK_MODE,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_OB_NORM_MODE,Mount/gimbal,,-1,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_OFF_PITCH,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_OFF_ROLL,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_OFF_YAW,Mount/gimbal,,0,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_RANGE_PITCH,Mount/gimbal,,360,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_RANGE_ROLL,Mount/gimbal,,360,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_RANGE_YAW,Mount/gimbal,,360,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_RATE_PITCH,Mount/gimbal,,30,,not_exported_by_fs150,metadata default,Mount,Float,
MNT_RATE_YAW,Mount/gimbal,,30,,not_exported_by_fs150,metadata default,Mount,Float,
NAV_AH_ALT,Navigation,,600,,not_exported_by_fs150,metadata default,Data Link Loss,Float,
NAV_AH_LAT,Navigation,,-265847810,,not_exported_by_fs150,metadata default,Data Link Loss,Int32,
NAV_AH_LON,Navigation,,1518423250,,not_exported_by_fs150,metadata default,Data Link Loss,Int32,
PWM_AUX_DIS7,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_DIS8,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_FAIL7,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_FAIL8,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_MAX7,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_MAX8,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_MIN7,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_MIN8,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_RATE1,Actuator output,,50,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_REV7,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_REV8,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_AUX_TRIM7,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_AUX_TRIM8,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_EXTRA_DIS1,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_DIS2,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_DIS3,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_DIS4,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_DIS5,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_DIS6,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_DIS7,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_DIS8,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_DISARM,Actuator output,,1500,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_FAIL1,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_FAIL2,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_FAIL3,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_FAIL4,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_FAIL5,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_FAIL6,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_FAIL7,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_FAIL8,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX,Actuator output,,2000,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX1,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX2,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX3,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX4,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX5,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX6,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX7,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MAX8,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN,Actuator output,,1000,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN1,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN2,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN3,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN4,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN5,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN6,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN7,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_MIN8,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_RATE,Actuator output,,50,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_RATE1,Actuator output,,50,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_REV1,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_REV2,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_REV3,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_REV4,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_REV5,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_REV6,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_REV7,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_REV8,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_EXTRA_TRIM1,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_EXTRA_TRIM2,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_EXTRA_TRIM3,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_EXTRA_TRIM4,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_EXTRA_TRIM5,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_EXTRA_TRIM6,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_EXTRA_TRIM7,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_EXTRA_TRIM8,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_MAIN_DIS10,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_DIS11,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_DIS12,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_DIS13,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_DIS14,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_DIS9,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_FAIL10,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_FAIL11,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_FAIL12,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_FAIL13,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_FAIL14,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_FAIL9,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MAX10,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MAX11,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MAX12,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MAX13,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MAX14,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MAX9,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MIN10,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MIN11,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MIN12,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MIN13,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MIN14,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_MIN9,Actuator output,,-1,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_RATE1,Actuator output,,50,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_REV10,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_REV11,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_REV12,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_REV13,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_REV14,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_REV9,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Int32,
PWM_MAIN_TRIM10,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_MAIN_TRIM11,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_MAIN_TRIM12,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_MAIN_TRIM13,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_MAIN_TRIM14,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
PWM_MAIN_TRIM9,Actuator output,,0,,not_exported_by_fs150,metadata default,PWM Outputs,Float,
RV_YAW_P,Other,,0.1,,not_exported_by_fs150,metadata default,Miscellaneous,Float,
RWTO_AIRSPD_SCL,Other,,1.3,,not_exported_by_fs150,metadata default,Runway Takeoff,Float,
RWTO_HDG,Other,,0,,not_exported_by_fs150,metadata default,Runway Takeoff,Int32,
RWTO_MAX_PITCH,Other,,20,,not_exported_by_fs150,metadata default,Runway Takeoff,Float,
RWTO_MAX_ROLL,Other,,25,,not_exported_by_fs150,metadata default,Runway Takeoff,Float,
RWTO_MAX_THR,Other,,1,,not_exported_by_fs150,metadata default,Runway Takeoff,Float,
RWTO_NAV_ALT,Other,,5,,not_exported_by_fs150,metadata default,Runway Takeoff,Float,
RWTO_PSP,Other,,0,,not_exported_by_fs150,metadata default,Runway Takeoff,Float,
RWTO_RAMP_TIME,Other,,2,,not_exported_by_fs150,metadata default,Runway Takeoff,Float,
RWTO_TKOFF,Other,,0,,not_exported_by_fs150,metadata default,Runway Takeoff,Int32,
SENS_DPRES_ANSC,Sensor selection/offset,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
SENS_INT_BARO_EN,Sensor selection/offset,,1,,not_exported_by_fs150,metadata default,Sensors,Int32,
SIM_BAT_DRAIN,Other,,60,,not_exported_by_fs150,metadata default,SITL,Float,
SIM_BAT_MIN_PCT,Other,,50,,not_exported_by_fs150,metadata default,SITL,Float,
TC_A0_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_A0_TMAX,Other,,100,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_TMIN,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_TREF,Other,,25,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X0_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X0_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X0_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X1_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X1_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X1_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X2_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X2_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X2_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X3_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X3_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A0_X3_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_A1_TMAX,Other,,100,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_TMIN,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_TREF,Other,,25,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X0_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X0_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X0_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X1_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X1_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X1_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X2_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X2_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X2_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X3_0,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X3_1,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A1_X3_2,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_ID,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Int32,
TC_A2_TMAX,Other,,100,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
TC_A2_TMIN,Other,,0,,not_exported_by_fs150,metadata default,Thermal Compensation,Float,
