name,family,fs150_value,sim_iris_value,delta_fs_minus_sim,status,sim_source,px4_group,px4_type,fs_type
ATT_BIAS_MAX,Other,,0.05,,not_exported_by_fs150,metadata default,Attitude Q estimator,Float,
ATT_EXT_HDG_M,Other,,0,,not_exported_by_fs150,metadata default,Attitude Q estimator,Int32,
ATT_MAG_DECL,Other,,0,,not_exported_by_fs150,metadata default,Attitude Q estimator,Float,
ATT_MAG_DECL_A,Other,,1,,not_exported_by_fs150,metadata default,Attitude Q estimator,Int32,
ATT_W_ACC,Other,,0.2,,not_exported_by_fs150,metadata default,Attitude Q estimator,Float,
ATT_W_EXT_HDG,Other,,0.1,,not_exported_by_fs150,metadata default,Attitude Q estimator,Float,
ATT_W_GYRO_BIAS,Other,,0.1,,not_exported_by_fs150,metadata default,Attitude Q estimator,Float,
ATT_W_MAG,Other,,0.1,,not_exported_by_fs150,metadata default,Attitude Q estimator,Float,
BAT2_CAPACITY,Battery/power,,-1,,not_exported_by_fs150,metadata default,Battery Calibration,Float,
BAT2_N_CELLS,Battery/power,,0,,not_exported_by_fs150,metadata default,Battery Calibration,Int32,
BAT2_R_INTERNAL,Battery/power,,-1,,not_exported_by_fs150,metadata default,Battery Calibration,Float,
BAT2_SOURCE,Battery/power,,-1,,not_exported_by_fs150,metadata default,Battery Calibration,Int32,
BAT2_V_CHARGED,Battery/power,,4.05,,not_exported_by_fs150,metadata default,Battery Calibration,Float,
BAT2_V_EMPTY,Battery/power,,3.5,,not_exported_by_fs150,metadata default,Battery Calibration,Float,
BAT2_V_LOAD_DROP,Battery/power,,0.3,,not_exported_by_fs150,metadata default,Battery Calibration,Float,
CAL_ACC2_PRIO,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_ACC2_ROT,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_ACC2_XOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC2_XSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC2_YOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC2_YSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC2_ZOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC2_ZSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC3_PRIO,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_ACC3_ROT,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_ACC3_XOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC3_XSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC3_YOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC3_YSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC3_ZOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_ACC3_ZSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_GYRO2_PRIO,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_GYRO2_ROT,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_GYRO2_XOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_GYRO2_YOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_GYRO2_ZOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_GYRO3_PRIO,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_GYRO3_ROT,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_GYRO3_XOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_GYRO3_YOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_GYRO3_ZOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_PRIO,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_MAG1_XCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_XODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_XOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_XSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_YCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_YODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_YOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_YSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_ZCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_ZODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_ZOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG1_ZSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_PRIO,Sensor calibration,,-1,,not_exported_by_fs150,metadata default,Sensor Calibration,Int32,
CAL_MAG2_XCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_XODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_XOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_XSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_YCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_YODIAG,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_YOFF,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_YSCALE,Sensor calibration,,1,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
CAL_MAG2_ZCOMP,Sensor calibration,,0,,not_exported_by_fs150,metadata default,Sensor Calibration,Float,
